,col,row
0,13,10
1,14,10
2,15,10
3,16,10
4,17,10
5,18,10
6,19,10
7,11,11
8,12,11
9,13,11
10,14,11
11,15,11
12,16,11
13,17,11
14,18,11
15,19,11
16,20,11
17,21,11
18,22,11
19,23,11
20,10,12
21,11,12
22,12,12
23,13,12
24,14,12
25,15,12
26,16,12
27,17,12
28,18,12
29,19,12
30,20,12
31,21,12
32,22,12
33,23,12
34,9,13
35,10,13
36,11,13
37,12,13
38,13,13
39,14,13
40,15,13
41,16,13
42,17,13
43,18,13
44,19,13
45,20,13
46,21,13
47,22,13
48,23,13
49,24,13
50,25,13
51,26,13
52,27,13
53,28,13
54,9,14
55,10,14
56,11,14
57,12,14
58,13,14
59,14,14
60,15,14
61,16,14
62,17,14
63,18,14
64,19,14
65,20,14
66,21,14
67,22,14
68,23,14
69,24,14
70,25,14
71,26,14
72,27,14
73,28,14
74,29,14
75,30,14
76,31,14
77,32,14
78,33,14
79,34,14
80,35,14
81,9,15
82,10,15
83,11,15
84,12,15
85,13,15
86,14,15
87,15,15
88,16,15
89,17,15
90,18,15
91,19,15
92,20,15
93,21,15
94,22,15
95,23,15
96,24,15
97,25,15
98,26,15
99,27,15
100,28,15
101,29,15
102,30,15
103,31,15
104,32,15
105,33,15
106,34,15
107,35,15
108,36,15
109,37,15
110,38,15
111,39,15
112,8,16
113,9,16
114,10,16
115,11,16
116,12,16
117,13,16
118,14,16
119,15,16
120,16,16
121,17,16
122,18,16
123,19,16
124,20,16
125,21,16
126,22,16
127,23,16
128,24,16
129,25,16
130,26,16
131,27,16
132,28,16
133,29,16
134,30,16
135,31,16
136,32,16
137,33,16
138,34,16
139,35,16
140,36,16
141,37,16
142,38,16
143,39,16
144,40,16
145,9,17
146,10,17
147,11,17
148,12,17
149,13,17
150,14,17
151,15,17
152,16,17
153,17,17
154,18,17
155,19,17
156,20,17
157,21,17
158,22,17
159,23,17
160,24,17
161,25,17
162,26,17
163,27,17
164,28,17
165,29,17
166,30,17
167,31,17
168,32,17
169,33,17
170,34,17
171,35,17
172,36,17
173,37,17
174,38,17
175,39,17
176,40,17
177,9,18
178,10,18
179,11,18
180,12,18
181,13,18
182,14,18
183,15,18
184,16,18
185,17,18
186,18,18
187,19,18
188,20,18
189,21,18
190,22,18
191,23,18
192,24,18
193,25,18
194,26,18
195,27,18
196,28,18
197,29,18
198,30,18
199,31,18
200,32,18
201,33,18
202,34,18
203,35,18
204,36,18
205,37,18
206,38,18
207,39,18
208,40,18
209,9,19
210,10,19
211,11,19
212,12,19
213,13,19
214,14,19
215,15,19
216,16,19
217,17,19
218,18,19
219,19,19
220,20,19
221,21,19
222,22,19
223,23,19
224,24,19
225,25,19
226,26,19
227,27,19
228,28,19
229,29,19
230,30,19
231,31,19
232,32,19
233,33,19
234,34,19
235,35,19
236,36,19
237,37,19
238,38,19
239,39,19
240,40,19
241,9,20
242,10,20
243,11,20
244,12,20
245,13,20
246,14,20
247,15,20
248,16,20
249,17,20
250,18,20
251,19,20
252,20,20
253,21,20
254,22,20
255,23,20
256,24,20
257,25,20
258,26,20
259,27,20
260,28,20
261,29,20
262,30,20
263,31,20
264,32,20
265,33,20
266,34,20
267,35,20
268,36,20
269,37,20
270,38,20
271,39,20
272,40,20
273,9,21
274,10,21
275,11,21
276,12,21
277,13,21
278,14,21
279,15,21
280,16,21
281,17,21
282,18,21
283,19,21
284,20,21
285,21,21
286,22,21
287,23,21
288,24,21
289,25,21
290,26,21
291,27,21
292,28,21
293,29,21
294,30,21
295,31,21
296,32,21
297,33,21
298,34,21
299,35,21
300,36,21
301,37,21
302,38,21
303,39,21
304,40,21
305,9,22
306,10,22
307,11,22
308,12,22
309,13,22
310,14,22
311,15,22
312,16,22
313,17,22
314,18,22
315,19,22
316,20,22
317,21,22
318,22,22
319,23,22
320,24,22
321,25,22
322,26,22
323,27,22
324,28,22
325,29,22
326,30,22
327,31,22
328,32,22
329,33,22
330,34,22
331,35,22
332,36,22
333,37,22
334,38,22
335,39,22
336,40,22
337,8,23
338,9,23
339,10,23
340,11,23
341,12,23
342,13,23
343,14,23
344,15,23
345,16,23
346,17,23
347,18,23
348,19,23
349,20,23
350,21,23
351,22,23
352,23,23
353,24,23
354,25,23
355,26,23
356,27,23
357,28,23
358,29,23
359,30,23
360,31,23
361,32,23
362,33,23
363,34,23
364,35,23
365,36,23
366,37,23
367,38,23
368,39,23
369,40,23
370,9,24
371,10,24
372,11,24
373,12,24
374,13,24
375,14,24
376,15,24
377,16,24
378,17,24
379,18,24
380,19,24
381,20,24
382,21,24
383,22,24
384,23,24
385,24,24
386,25,24
387,26,24
388,27,24
389,28,24
390,29,24
391,30,24
392,31,24
393,32,24
394,33,24
395,34,24
396,35,24
397,36,24
398,37,24
399,38,24
400,39,24
401,40,24
402,41,24
403,9,25
404,10,25
405,11,25
406,12,25
407,13,25
408,14,25
409,15,25
410,16,25
411,17,25
412,18,25
413,19,25
414,20,25
415,21,25
416,22,25
417,23,25
418,24,25
419,25,25
420,26,25
421,27,25
422,28,25
423,29,25
424,30,25
425,31,25
426,32,25
427,33,25
428,34,25
429,35,25
430,36,25
431,37,25
432,38,25
433,39,25
434,40,25
435,10,26
436,11,26
437,12,26
438,13,26
439,14,26
440,15,26
441,16,26
442,17,26
443,18,26
444,19,26
445,20,26
446,21,26
447,22,26
448,23,26
449,24,26
450,25,26
451,26,26
452,27,26
453,28,26
454,29,26
