,col,row
0,4,2
1,5,2
2,6,2
3,3,3
4,4,3
5,5,3
6,6,3
7,7,3
8,8,3
9,9,3
10,10,3
11,3,4
12,4,4
13,5,4
14,6,4
15,7,4
16,8,4
17,9,4
18,10,4
19,11,4
20,12,4
21,13,4
22,4,5
23,5,5
24,6,5
25,7,5
26,8,5
27,9,5
28,10,5
29,11,5
30,12,5
31,13,5
32,14,5
33,5,6
34,6,6
35,7,6
36,8,6
37,9,6
38,10,6
39,11,6
40,12,6
41,13,6
42,14,6
43,16,6
44,17,6
45,18,6
46,22,6
47,5,7
48,6,7
49,7,7
50,8,7
51,9,7
52,10,7
53,11,7
54,12,7
55,13,7
56,14,7
57,15,7
58,16,7
59,17,7
60,18,7
61,19,7
62,20,7
63,21,7
64,22,7
65,23,7
66,5,8
67,6,8
68,7,8
69,8,8
70,9,8
71,10,8
72,11,8
73,12,8
74,13,8
75,14,8
76,15,8
77,16,8
78,17,8
79,18,8
80,19,8
81,20,8
82,21,8
83,22,8
84,23,8
85,24,8
86,5,9
87,6,9
88,7,9
89,8,9
90,9,9
91,10,9
92,11,9
93,12,9
94,13,9
95,14,9
96,15,9
97,16,9
98,17,9
99,18,9
100,19,9
101,20,9
102,21,9
103,22,9
104,23,9
105,24,9
106,25,9
107,26,9
108,5,10
109,6,10
110,7,10
111,8,10
112,9,10
113,10,10
114,11,10
115,12,10
116,13,10
117,14,10
118,15,10
119,16,10
120,17,10
121,18,10
122,19,10
123,20,10
124,21,10
125,22,10
126,23,10
127,24,10
128,25,10
129,26,10
130,27,10
131,28,10
132,29,10
133,30,10
134,5,11
135,6,11
136,7,11
137,8,11
138,9,11
139,10,11
140,11,11
141,12,11
142,13,11
143,14,11
144,15,11
145,16,11
146,17,11
147,18,11
148,19,11
149,20,11
150,21,11
151,22,11
152,23,11
153,24,11
154,25,11
155,26,11
156,27,11
157,28,11
158,29,11
159,30,11
160,31,11
161,32,11
162,6,12
163,7,12
164,8,12
165,9,12
166,10,12
167,11,12
168,12,12
169,13,12
170,14,12
171,15,12
172,16,12
173,17,12
174,18,12
175,19,12
176,20,12
177,21,12
178,22,12
179,23,12
180,24,12
181,25,12
182,26,12
183,27,12
184,28,12
185,29,12
186,30,12
187,31,12
188,32,12
189,33,12
190,34,12
191,35,12
192,37,12
193,38,12
194,6,13
195,7,13
196,8,13
197,9,13
198,10,13
199,11,13
200,12,13
201,13,13
202,14,13
203,15,13
204,16,13
205,17,13
206,18,13
207,19,13
208,20,13
209,21,13
210,22,13
211,23,13
212,24,13
213,25,13
214,26,13
215,27,13
216,28,13
217,29,13
218,30,13
219,31,13
220,32,13
221,33,13
222,34,13
223,35,13
224,36,13
225,37,13
226,38,13
227,6,14
228,7,14
229,8,14
230,9,14
231,10,14
232,11,14
233,12,14
234,13,14
235,14,14
236,15,14
237,16,14
238,17,14
239,18,14
240,19,14
241,20,14
242,21,14
243,22,14
244,23,14
245,24,14
246,25,14
247,26,14
248,27,14
249,28,14
250,29,14
251,30,14
252,31,14
253,32,14
254,33,14
255,34,14
256,35,14
257,36,14
258,37,14
259,38,14
260,39,14
261,7,15
262,8,15
263,9,15
264,10,15
265,11,15
266,12,15
267,13,15
268,14,15
269,15,15
270,16,15
271,17,15
272,18,15
273,19,15
274,20,15
275,21,15
276,22,15
277,23,15
278,24,15
279,25,15
280,26,15
281,27,15
282,28,15
283,29,15
284,30,15
285,31,15
286,32,15
287,33,15
288,34,15
289,35,15
290,36,15
291,37,15
292,38,15
293,39,15
294,7,16
295,8,16
296,9,16
297,10,16
298,11,16
299,12,16
300,13,16
301,14,16
302,15,16
303,16,16
304,17,16
305,18,16
306,19,16
307,20,16
308,21,16
309,22,16
310,23,16
311,24,16
312,25,16
313,26,16
314,27,16
315,28,16
316,29,16
317,30,16
318,31,16
319,32,16
320,33,16
321,34,16
322,35,16
323,36,16
324,37,16
325,38,16
326,39,16
327,7,17
328,8,17
329,9,17
330,10,17
331,11,17
332,12,17
333,13,17
334,14,17
335,15,17
336,16,17
337,17,17
338,18,17
339,19,17
340,20,17
341,21,17
342,22,17
343,23,17
344,24,17
345,25,17
346,26,17
347,27,17
348,28,17
349,29,17
350,30,17
351,31,17
352,32,17
353,33,17
354,34,17
355,35,17
356,36,17
357,37,17
358,38,17
359,39,17
360,7,18
361,8,18
362,9,18
363,10,18
364,11,18
365,12,18
366,13,18
367,14,18
368,15,18
369,16,18
370,17,18
371,18,18
372,19,18
373,20,18
374,21,18
375,22,18
376,23,18
377,24,18
