,col,row
0,0.0,64.0
1,0.0,65.0
2,1.0,64.0
3,1.0,65.0
4,2.0,64.0
5,2.0,65.0
6,3.0,64.0
7,3.0,65.0
8,4.0,52.0
9,4.0,53.0
10,4.0,54.0
11,4.0,55.0
12,4.0,56.0
13,4.0,57.0
14,4.0,58.0
15,4.0,59.0
16,4.0,60.0
17,4.0,61.0
18,4.0,62.0
19,4.0,63.0
20,4.0,64.0
21,4.0,65.0
22,4.0,66.0
23,4.0,67.0
24,5.0,52.0
25,5.0,53.0
26,5.0,54.0
27,5.0,55.0
28,5.0,56.0
29,5.0,57.0
30,5.0,58.0
31,5.0,59.0
32,5.0,60.0
33,5.0,61.0
34,5.0,62.0
35,5.0,63.0
36,5.0,64.0
37,5.0,65.0
38,5.0,66.0
39,5.0,67.0
40,6.0,52.0
41,6.0,53.0
42,6.0,54.0
43,6.0,55.0
44,6.0,56.0
45,6.0,57.0
46,6.0,58.0
47,6.0,59.0
48,6.0,60.0
49,6.0,61.0
50,6.0,62.0
51,6.0,63.0
52,6.0,64.0
53,6.0,65.0
54,6.0,66.0
55,6.0,67.0
56,6.0,68.0
57,6.0,69.0
58,7.0,52.0
59,7.0,53.0
60,7.0,54.0
61,7.0,55.0
62,7.0,56.0
63,7.0,57.0
64,7.0,58.0
65,7.0,59.0
66,7.0,60.0
67,7.0,61.0
68,7.0,62.0
69,7.0,63.0
70,7.0,64.0
71,7.0,65.0
72,7.0,66.0
73,7.0,67.0
74,7.0,68.0
75,7.0,69.0
76,8.0,40.0
77,8.0,41.0
78,8.0,42.0
79,8.0,51.0
80,8.0,52.0
81,8.0,53.0
82,8.0,54.0
83,8.0,55.0
84,8.0,56.0
85,8.0,57.0
86,8.0,58.0
87,8.0,59.0
88,8.0,60.0
89,8.0,61.0
90,8.0,62.0
91,8.0,63.0
92,8.0,64.0
93,8.0,65.0
94,8.0,66.0
95,8.0,67.0
96,8.0,68.0
97,8.0,69.0
98,8.0,70.0
99,8.0,71.0
100,9.0,40.0
101,9.0,41.0
102,9.0,42.0
103,9.0,43.0
104,9.0,44.0
105,9.0,45.0
106,9.0,46.0
107,9.0,47.0
108,9.0,48.0
109,9.0,49.0
110,9.0,50.0
111,9.0,51.0
112,9.0,52.0
113,9.0,53.0
114,9.0,54.0
115,9.0,55.0
116,9.0,56.0
117,9.0,57.0
118,9.0,58.0
119,9.0,59.0
120,9.0,60.0
121,9.0,61.0
122,9.0,62.0
123,9.0,63.0
124,9.0,64.0
125,9.0,65.0
126,9.0,66.0
127,9.0,67.0
128,9.0,68.0
129,9.0,69.0
130,9.0,70.0
131,9.0,71.0
132,10.0,24.0
133,10.0,25.0
