,col,row
0,7,7
1,8,7
2,9,7
3,10,7
4,11,7
5,12,7
6,13,7
7,14,7
8,6,8
9,7,8
10,8,8
11,9,8
12,10,8
13,11,8
14,12,8
15,13,8
16,14,8
17,15,8
18,16,8
19,17,8
20,18,8
21,19,8
22,6,9
23,7,9
24,8,9
25,9,9
26,10,9
27,11,9
28,12,9
29,13,9
30,14,9
31,15,9
32,16,9
33,17,9
34,18,9
35,19,9
36,20,9
37,21,9
38,22,9
39,23,9
40,24,9
41,7,10
42,8,10
43,9,10
44,10,10
45,11,10
46,12,10
47,13,10
48,14,10
49,15,10
50,16,10
51,17,10
52,18,10
53,19,10
54,20,10
55,21,10
56,22,10
57,23,10
58,24,10
59,7,11
60,8,11
61,9,11
62,10,11
63,11,11
64,12,11
65,13,11
66,14,11
67,15,11
68,16,11
69,17,11
70,18,11
71,19,11
72,20,11
73,21,11
74,22,11
75,23,11
76,24,11
77,25,11
78,26,11
79,27,11
80,7,12
81,8,12
82,9,12
83,10,12
84,11,12
85,12,12
86,13,12
87,14,12
88,15,12
89,16,12
90,17,12
91,18,12
92,19,12
93,20,12
94,21,12
95,22,12
96,23,12
97,24,12
98,25,12
99,26,12
100,27,12
101,28,12
102,29,12
103,30,12
104,7,13
105,8,13
106,9,13
107,10,13
108,11,13
109,12,13
110,13,13
111,14,13
112,15,13
113,16,13
114,17,13
115,18,13
116,19,13
117,20,13
118,21,13
119,22,13
120,23,13
121,24,13
122,25,13
123,26,13
124,27,13
125,28,13
126,29,13
127,30,13
128,31,13
129,32,13
130,7,14
131,8,14
132,9,14
133,10,14
134,11,14
135,12,14
136,13,14
137,14,14
138,15,14
139,16,14
140,17,14
141,18,14
142,19,14
143,20,14
144,21,14
145,22,14
146,23,14
147,24,14
148,25,14
149,26,14
150,27,14
151,28,14
152,29,14
153,30,14
154,31,14
155,32,14
156,33,14
157,34,14
158,35,14
159,36,14
160,37,14
161,38,14
162,39,14
163,7,15
164,8,15
165,9,15
166,10,15
167,11,15
168,12,15
169,13,15
170,14,15
171,15,15
172,16,15
173,17,15
174,18,15
175,19,15
176,20,15
177,21,15
178,22,15
179,23,15
180,24,15
181,25,15
182,26,15
183,27,15
184,28,15
185,29,15
186,30,15
187,31,15
188,32,15
189,33,15
190,34,15
191,35,15
192,36,15
193,37,15
194,38,15
195,39,15
196,7,16
197,8,16
198,9,16
199,10,16
200,11,16
201,12,16
202,13,16
203,14,16
204,15,16
205,16,16
206,17,16
207,18,16
208,19,16
209,20,16
210,21,16
211,22,16
212,23,16
213,24,16
214,25,16
215,26,16
216,27,16
217,28,16
218,29,16
219,30,16
220,31,16
221,32,16
222,33,16
223,34,16
224,35,16
225,36,16
226,37,16
227,38,16
228,39,16
229,7,17
230,8,17
231,9,17
232,10,17
233,11,17
234,12,17
235,13,17
236,14,17
237,15,17
238,16,17
239,17,17
240,18,17
241,19,17
242,20,17
243,21,17
244,22,17
245,23,17
246,24,17
247,25,17
248,26,17
249,27,17
250,28,17
251,29,17
252,30,17
253,31,17
254,32,17
255,33,17
256,34,17
257,35,17
258,36,17
259,37,17
260,38,17
261,39,17
262,40,17
263,7,18
264,8,18
265,9,18
266,10,18
267,11,18
268,12,18
269,13,18
270,14,18
271,15,18
272,16,18
273,17,18
274,18,18
275,19,18
276,20,18
